sentence,Sentiments,Bayes
"Prices vary from country to country, prices naturally fluctuate depending on the world oil prices, which countries are expensive",Netral,Netral
"Mukiyo's rags use expensive fertilizer, farmers' sales plummet as a result of toll payments and rising prices",Netral,Netral
land and air routes via Pertamina maximally maintaining one price stock throughout Indonesia,Netral,Positif
democrats ask for a smarter order to be smarter because the people are already in trouble due to the price increase http,Positif,Positif
Economists at universities support according to non-subsidized prices,Positif,Positif
"Tul sir, since the village pertashop is easy to get at the official price",Positif,Positif
"Indonesia's prices are cheap compared to Thailand, Singapore, Pertalite can be subsidized by Pertamax non-subsidies, other prices follow world oil prices",Netral,Netral
"Pertamina continues to be optimally present at one price throughout the country, efforts to achieve trust, fair form, energy, homeland, always Pertamina's blessings",Positif,Positif
non-subsidized prices fluctuate common values ​​of East Java society via,Positif,Positif
"Wow, Okepertamina continues to encourage the distribution of one price limit to all corners of the country",Positif,Positif
"Dehpertamina is great at distributing supplies at one price throughout Indonesia by land, sea, air",Positif,Positif
The best strategy is to distribute Pertamina's one price form of energy to all corners of the country,Positif,Positif
Interchange mode is how to buy a subsidized type of bio diesel then sell it at a high price. Businesses need factory-owned heavy vehicles,Netral,Positif
People's purchasing power is influenced by prices,Netral,Netral
"according to the price, the order step is very accurate",Netral,Netral
"according to fuel prices in the form of government efforts to optimize the benefits of the community's APBN, apart from protecting the poor, vulnerable to poverty from the impact of rising food and energy prices",Negatif,Positif
"Fluctuations in non-subsidized prices are more profitable for the public, according to prices faster following developments in world crude oil prices",Negatif,Positif
I just found out that the mypertamina application can see who has the right to get subsidies on Indonesian prices due to the influence of world oil,Netral,Positif
"Anies is like an all you can eat menu, the eyes of those who criticize the price increase in the ending, Anies criticizes wise pro palace style bastards, the ending, Anies criticizes the Pancasila asong group and lack of snacks, the ending, Anies, tomorrow the mother won't eat, the ending, Anies",Negatif,Negatif
the video will be cheaper gin gas conversion prices,Netral,Netral
It is important that consumer quality does not matter about non-subsidized price fluctuations,Positif,Positif
"Wow, this is really cool, this program has a very positive impact, one price is a real form of energy leveling",Positif,Positif
"Of course, with the Pertamina program, one price is very right and reaches even remote areas",Positif,Positif
economist unej public adaptation to change when non-subsidized prices jember ciplis gema qoriah economist conscientious data research group one unejvia,Netral,Netral
"This application is easy for you to find out the latest Pertamina info. If you want to find new prices, Mypertamina is looking for flowers, please.",Positif,Positif
wisely according to non-subsidized prices when the influence of the upper middle class is significant,Positif,Positif
"Well, even if the price goes up a little, it's okay if the order doesn't suddenly increase the price, there's a reason why, even though it's like that, Pertamina's prices are always consistent, Pertamina always provides good quality oil and gas, so it's worth it, right?",Positif,Positif
Indonesian prices influence world oil prices because oil takes millions of years to form just to come out of the ground,Netral,Netral
"Well, this important issue is related to the increase in real prices, Indonesian prices, the influence of world oil prices on oil importers, because production is quite necessary nationally",Positif,Positif
"The prices are as consistent as when I went home to Kalimantan. In fact, the prices are the same as Jakarta. Very wise, Kudos to Pertamina",Positif,Positif
lower the price of electricity for people shopping in Ndu,Negatif,Negatif
work together to support the one price program and targeted subsidy programs,Positif,Positif
Democrat Party Rates Increase in Prices Impact of Increase in Transport and Basic Food Tariffs Democrat Agusyudhoyono Ahy Leads Change,Positif,Positif
DPR Democratic Party considers the order to be right to increase the price of bbmp Democrats Agusyudhoyono Ahy leads change,Positif,Positif
"orders are currently evaluating the price of ron pertalite fuel oil type, read in full",Netral,Netral
order to evaluate the price of pertalite down next month,Netral,Netral
easy access to subsidies for the KKP fish sector in collaboration with state-owned companies so that Pertaminautk is full of needs at prices affordable to fishermen,Positif,Positif
"it's really good that the state of Wakanda's position, rich assets need to be reported, even the position of the people is screaming because the price of the Hajj fare has increased",Positif,Positif
"Hiswana Migas, fuel oil and gas retail business association, several types of products are proposed by the Cianjur regional government for fixed prices",Netral,Netral
You know that Indonesian prices influence world oil prices,Netral,Netral
Pertamina's collaboration with KKP makes it very easy for fishermen to get cheap prices,Positif,Positif
"Pertamina is taking real steps for the welfare of fishermen, providing affordable prices to reduce production costs, making access easier",Positif,Positif
"Pertamina support is ready to provide a special one-price subsidy for Indonesia, guaranteeing what the community needs",Positif,Positif
"when the price of rice goes up, it will go up",Netral,Netral
This is good because there is a one price program for gin in all areas. Pencil tastes at the same price as general gas stations,Positif,Positif
"Minister of Finance withdraws debt as if in office, people are strangled by rising prices, need to catch up on taxes, pay off debts, sontoloyo",Negatif,Negatif
price triggers the urban poor level,Negatif,Netral
"If the people continue to be confused about whether they want to continue to increase the debt, the democracy index continues to decline, enforce the law, vote, vote, buzzerrp, continue to maintain division among the nation's children, the price of the people continues to rise, whichever continues to rise",Negatif,Negatif
"Wait a minute, say that the toll road is a loss for the fast train, it's not that I want to import, the price of electricity certificates is increasing, it's not my idea, astaghfirullah",Negatif,Negatif
What's the point of buying it if the price goes up as a result of the increase even though poor people get BLT they still don't buy it,Negatif,Negatif
"you need to know that Indonesia is a net importer of fuel, you know, changing prices, the influence of world oil prices is an issue about Indonesia's fuel exports, it's just a myth, guys.",Netral,Negatif
"Just access it, even in remote areas, Pertamina needs to hesitate to believe that it is consistently better than any other price",Positif,Positif
Pertamina's efforts to implement one regional price require expensive prices,Netral,Netral
"Pertamina's commitment to channel one price is difficult to reach, the main community is in remote areas",Positif,Positif
"Wisely, the Indonesian government maintains the one price program with a positive impact on Pertamina",Positif,Positif
The one price program hopes to create social justice for all Indonesian people in order to provide a multiplier effect on the growth of society,Positif,Positif
then mypertamina ordered the presence of the mypertamina one price program to give people easy access to affordable prices,Positif,Positif
"Once upon a time in Soekarno's era, how many cents did it cost hahah, brains if you filled a tokai like you hahaha",Positif,Negatif
"Have you ever thought about rising prices, what are the factors influencing Indonesian prices? Answer: Indonesian prices are influenced by world oil",Netral,Netral
"I hope the Anies team is not a populist policy team like the PKS Prabowo team in the presidential election yesterday, the people are smart, sir, not in the past, the people understand that they have to increase the price of the omnibus law subsidy, they want the people to make Indonesia a developed country.",Positif,Positif
Indonesian prices influence world oil prices. Indonesia's net oil importers. Indonesia's oil output is quite full. National needs,Netral,Netral
the price of dab soap has gone down,Netral,Netral
Pertamina's fishermen's morning energy fair form implements the one fisherman's price program,Positif,Positif
Pertamina's regional focus program requires expensive prices to be cheap,Netral,Netral
Pertamina's one price program is available for limited limits,Negatif,Netral
"taking care of the hills, the algorithm is capable of running for governor, who cares about price increases, prices have risen due to the floods, the miserable people have finished here",Positif,Negatif
"sendernim's spirit, hope you are always healthy, don't worry about the price going up, so if you're tired, take a break, you'll be fine",Positif,Positif
"That's it, Pertamina's prices are very competitive, even compared to other countries in Indonesia, the prices are the cheapest",Positif,Positif
BPH Migas urges people to adapt according to current non-subsidized prices,Netral,Netral
New list of Pertamina prices for all gas stations in the Republic of Indonesia,Netral,Netral
"Yes, in the past, the reason for the pandemic was the price increase, but instead the price went up even more",Positif,Positif
"Damri, now it's overpriced, before the price went up because of the pandemic, it went down and down, the price kept going up, but instead the price went up, bye, now it's reliable at the airport",Netral,Netral
"Prices increase Anies as governor of DKI Jakarta decides to disburse tens of billions of rupiah in public transport fares increases Anies Baswedan leads until last mute, residents think",Positif,Positif
The program has a very positive impact on one of the real costs of energy leveling,Positif,Positif
"The little people want cheap, economical prices",Positif,Positif
"according to the price of the Malang Police Station, social service for residents' basic necessities",Netral,Netral
"Salute to the quality, quantity of fish, yes, you need to remember that Indonesian prices are influenced by world oil. Hurry up and try the Mypertamina application, really cool discount vouchers",Positif,Positif
"The strong state-owned oil and gas energy sector, Pertamina, continues to be available to the public at affordable prices",Positif,Positif
"Well, the One Price Program is intended to provide easy access to energy in remote areas at affordable prices",Positif,Positif
"because Indonesia does not produce enough oil, it needs national meaning of Indonesian prices, the influence of world oil prices, Pertamina's price drops, other non-subsidized Pertamax prices, big applause for Pertamina",Positif,Positif
"It's cool, even though it's high quality, you can get Pertamina fuel at a consistently reasonable price and it's really easy to find because it's literally everywhere.",Positif,Positif
Continue to support the Kuys One Price program,Positif,Positif
"Price monitoring is available at the Sungai Kunjang Police Department, Samarinda gas station",Netral,Netral
"Prices rose a few times and not without reason, Indonesian prices rose because the influence of world oil prices occurred because Indonesia was a net importer of fuel because Indonesia was subject to price pressures, changes in global fuel prices",Negatif,Negatif
"If the selling price is relatively the same as petrol cars, the recharging infrastructure is very rare, aka really lacking",Netral,Positif
"guys, you are not afraid if prices continue to rise because Indonesian prices influence world oil prices, just pray that world oil prices remain stable",Positif,Positif
"Indonesia is a country that is a net importer of oil. Oil stocks here are quite full. National needs have to buy first from the world market, and like it or not, prices have to be in line with world market prices. Pertamina's prices have dropped to the price of Pertamax and other fuels.",Positif,Negatif
"Widih is really good, Pertamina guys, now there is one price, Indonesia",Positif,Positif
"There is one price, now the price is in remote areas and city areas",Netral,Netral
"It's really true, guys, one price has many benefits, you know",Positif,Positif
"The strong state-owned oil and gas sector, Pertamina, continues to provide affordable prices",Positif,Positif
"The one full price program requires energy from a corner of the country, guys",Positif,Positif
"Pertamina continues to provide affordable prices to remote areas of the country, the one price program is getting stronger, the oil and gas sector is getting stronger",Positif,Positif
"because many people are sitting around, Indonesia needs to issue a forced order regarding imports, which affects world oil prices",Negatif,Positif
"cheap prices, the country commands to provide quite large subsidies every year",Netral,Positif
The country's prices are among the cheapest compared to neighboring countries' prices compared to world oil prices,Netral,Netral
"rise and fall in Indonesian prices, influence of world oil prices, world oil prices rise and rise, so in return, Indonesia buys oil on the world market",Netral,Netral
"No need to worry, guys, Pertamina provides a one-price outlet that is easy for remote communities to reach",Negatif,Positif
one price now gives many benefits to the well-being of the main communities in the corners of the state,Positif,Positif
"One price program, now I am a remote community, bringing justice to the energy sector",Positif,Positif
Pertamina's one price program officially provides social justice for the energy sector,Positif,Positif
Pertamina has had a positive impact on Indonesia's economic conditions by carefully considering price increases,Positif,Positif
"That's right, Bromo's post comments that the price has dropped",Netral,Positif
Oil import prices are hanging with world oil prices. The impact of war and extreme weather has greatly influenced the natural response to volatility,Negatif,Negatif
Starting to increase the Pertamina price list for all gas stations,Positif,Positif
Teluk Mengkudu Police Chief and Teluk Mengkudu Police personnel hand over assistance to residents to help residents connect according to prices at Teluk Mengkudu Police Department,Positif,Netral
"Try Pertamina's one selling price program first, maybe the community will be more prosperous, the economy will run smoothly at the same price as anywhere else in the archipelago",Positif,Positif
"Who knows, Pertamina Usaha has believed in Indonesia for years, price, quality, very easy to access",Positif,Positif
"One price is a form of regional price, economic growth is growing, access is getting closer, Pertamina is in control of Indonesian distribution.",Positif,Positif
"with the same price, the fruit is easy to access for the community, the economy becomes fair, the area becomes more developed, Pertamina becomes consistently late in targeting the general public",Positif,Positif
Searching in remote areas is now easier thanks to the Pertamina name one price program for the public so it's easy to sell gas stations owned by Pertamina anchor widely.,Positif,Positif
"one of the state-owned companies is Pertamina, so one price changes the price of a program, once the subsidy continues to give Pertamina the right sas",Netral,Positif
"now with the presence of the mypertamina apk, everything related to Pertamina can be accessed easily, then the smartphone can know more about consistent prices, the main thing for me is that it's really easy to get cash with the mypertamina apk, filling up with petrol is easier",Positif,Positif
"spared from the price increase, Pertamina provides good quality at Pertamina pump locations in almost all corners of Indonesia",Positif,Positif
"Considering many aspects, of course the non-subsidized price is the authority of the business entity",Positif,Positif
"rising prices will increase due to the influence of world oil, the increase will clearly reduce the budget deficit, maintain fiscal sustainability, reduce the trade balance deficit, especially for oil and gas, reduce the pressure on the rupiah exchange rate",Negatif,Positif
Pertamina thinks that long-term price increases will have a positive impact on Indonesia's economic conditions,Positif,Positif
"If someone has lost an argument, they attack their personal problem, what is the answer, and ask why now the price of oil continues to rise even though previously it was hypocritical to reject the increase",Negatif,Negatif
"Many people have the wrong perception that Pertamina has raised prices some time ago, even though you need to know that Indonesia is a net importer of fuel that has pushed down prices by changing global fuel prices.",Negatif,Positif
Indonesia is developing very fast and needs more oil from imported waste to pay prices according to global market prices,Negatif,Negatif
"Even though Pertamina's prices are very consistent, you know that Indonesian prices influence world oil prices, yes, Indonesia really needs to call for orders to force imports.",Positif,Positif
"Pertamina has been trusted by the public for a long time, because Pertamina provides high quality, consistent prices, very easy to access",Positif,Positif
"Now Pertamina has spread all over the archipelago in terms of good quality products for consistent prices, helping the community, it's not difficult to buy, really cool.",Positif,Positif
"Sometimes Indonesian prices naturally go up, do you know why Indonesian prices are affected by world oil, you know, yes, that's one thing, don't forget to try using the Mypertamina application because it's profitable there.",Positif,Positif
"Pertamina prices are cheap, because there are quite large government subsidies every year. The point is now you need to worry, guys, if you want to travel using Pertamina motorbikes, you need a solution.",Negatif,Positif
"know about Indonesian prices, the influence of world oil prices, myths circulating among Indonesians as a fuel export, facts about Indonesia being a net oil importer, because it is clear that Indonesia's oil output is not sufficient for national needs.",Positif,Positif
"Well, the most interesting thing is that Pertamina consistently holds prices, so it's safe to use Pertamina, hehe",Positif,Positif
"Do you know that Indonesian prices are influenced by world oil prices, which means fluctuating properties",Netral,Netral
"Guys, you already know that the state-owned company provides Pertamina fuel oil, so Pertamina sells it at cheap prices in Indonesia, you know?",Netral,Positif
"The relationship between the world price of gold is rising, the Indonesian price is quite popular, I really like filling up Pertamina petrol",Positif,Positif
So it's surprising that prices have jumped because orders subsidies continue to fall short of world market prices,Positif,Positif
"well, in relation to Indonesian prices, the influence of world oil, for example, the price of Pertamina has dropped, the price of other non-subsidized Pertamax is safe, hehe",Positif,Positif
"Pertamina offers consistent prices for all Indonesian citizens, choosing according to their needs",Netral,Positif
"Pertamina prices are indeed rising, you know, if an increase in world oil prices affects Indonesia, it is not an oil-rich country",Positif,Positif
How do you know that Indonesian prices are influenced by world oil?,Netral,Netral
"friends, you already know that Indonesian prices influence world oil prices, so the price that Indonesian importers pay really influences global prices",Positif,Positif
"Prices have risen in response to the extreme weather war. Prices have fallen recently, but recently Pertamina has dropped prices for other non-subsidized Pertamax",Negatif,Negatif
The level of energy service coverage throughout the country is Pertamina's commitment through a one price program,Positif,Positif
Pertamina's one price program is available in full demand for energy in every corner of the country,Positif,Positif
a price exists at the regional par price,Netral,Netral
"one price of fish, many benefits, same price, easy access, economic growth already",Positif,Positif
"the one price program is a real form of energy leveling for orders and pertamina, hopefully the program will have a higher level of impact, thursday madrid scott",Positif,Positif
one price program is a form of order and Pertamina is the main basis for a fair form of energy resulting in easier and cheaper access. Thank God Scott Thursday Madrid,Positif,Positif
New list of Pertamina prices for all gas stations in the Republic of Indonesia,Netral,Netral
"It's legal that the new prices throughout Indonesia go up and down, check the prices in Central Java, Jogja",Positif,Netral
Starting to increase the Pertamina price list at all gas stations,Positif,Positif
Starting to increase the Pertamina price list at all gas stations,Positif,Positif
"I've bought it at prices that go up and down, but because of the influence of world oil prices, guys, Indonesia, not from oil, commands give enough subsidies every year, so even though the price goes up and down, it's still affordable.",Netral,Negatif
"As a result of corruption, it's getting crazier to wake up as long as food imports never stop, people's money is getting drained, orders to increase prices, taxes, remove fertilizer subsidies, need something else",Positif,Positif
"I hope the price of toxic fertilizers calculated in farming remains profitable, thank you, I want to tan",Positif,Positif
"cook just found out that high and low thieves all the people start robbing cooking oil because the price of everything goes up, this is money wise, productivity regime, people's purchasing power, command costs",Negatif,Negatif
People forget the demo method and by winning on the side of the road by holding a price reduction banner,Positif,Positif
Don't worry about the price going up all the time,Positif,Positif
I don't know if the price has gone up,Netral,Positif
"Considering many aspects, of course the non-subsidized price is the authority of the business entity",Positif,Positif
"I don't know, so it's like prices, since the majority of people started using electric vehicles, automatically the number of electrical resources became more important, starting to become more possible",Positif,Positif
"Of course, the non-subsidized price is up to the business entity",Netral,Netral
"Very good program, more great program, unit price for building a fishing gas station, Pertamina consistently delivers on target, so it's better before",Positif,Positif
"Pertamina, a strong oil and gas company, is better than one Indonesian price, Fair Energy, Pertamina Jaya",Positif,Positif
"fair energy through the one price program for fishermen's gas stations, even justice with Pertamina gives exactly consistent, fair, real consistent",Positif,Positif
"likes to drive, suitable for families, economical, quiet, perfect work cabin, uneven road, safe system, qualified, affordable price, many colors",Positif,Positif
"In some areas the price reaches one price, that's really good, yups",Positif,Positif
Of course there is a one price program for the community which will make you really happy,Positif,Positif
"The regionally focused one price program requires expensive prices to be cheap, guys",Positif,Netral
"Fluctuations in non-subsidized prices are more profitable for the public, according to prices faster following developments in world crude oil prices",Negatif,Positif
"The main thing in the economy, thankfully, is that the stock continues to be kept sufficient, Alhamdulillah, the people in the corners of the area buy the same price",Positif,Positif
Pak price increases Akbp Oskar continue to monitor gas station stocks,Netral,Netral
non-subsidized price fluctuations for the community,Netral,Netral
"Up today, check the Pertamina price series at all gas stations",Netral,Netral
upgrade day check prices of all Pertamina gas stations,Netral,Netral
Register now for Pertamina gas station prices today in Indonesia,Netral,Netral
"Well, all the other drivers buy Pertamina, reliable quality, the price is too expensive, and it's ready",Positif,Positif
"The price of sticks due to the influence of world oil is a consequence of developing countries as well. Prices are rising consistently. How much do I want Pertamina's price to remain? Hey, I'm so in love xixi",Positif,Negatif
"It's legal that new prices throughout Indonesia go up and down, check DIY Central Java prices",Positif,Netral
"Food prices are rising, it's wrong to import rice, it's wrong to pay for Indonesian farmers' rice, it's expensive, it's wrong for farmers to buy cheap rice, it's wrong to criticize, it's smart to stop electricity subsidies, healthy subsidies, are you brave?",Negatif,Negatif
Collaboration with Pertamina General for full KKP caught fish requires affordable prices. Pertamina is great,Positif,Positif
The phenomenon of whether it never happens is that fuel prices cut prices because many people choose,Negatif,Negatif
"during his orders, cheap food prices, cheap fuel, cool, peaceful, peaceful, not divisive, Fatikha, the late Mr. President Soeharto",Positif,Positif
Prices fluctuate due to retail taste,Netral,Netral
Which political party is considered to be fighting for price stability in the perception of Indonesian citizens?,Positif,Positif
"I understand a little about Indonesian prices, the influence of world oil prices, world prices are rising along with them, Pertamina is holding the people's hearts, accessibility is available, good quality, prices remain consistent.",Positif,Positif
"Even though Indonesia imports a lot of crude oil, the country's price is cheap compared to neighboring countries compared to world market prices so cheap, Indonesia's price orders provide quite large subsidies this year.",Negatif,Negatif
"Even Pertamina's one price prices are generalized to villages in remote areas of the country. Wow, Indonesia is not an oil-rich country. Prices influence world oil prices. Indonesian prices are said to be cheap compared to neighboring countries, you know.",Positif,Positif
"I want to share information that if prices like to go up and down the influence of world oil prices, Indonesia is not a large oil producing country, so it needs full oil imports, it needs a wise exit order, light prices by providing subsidies.",Positif,Positif
"I understand, because prices went up a few months ago, subsidies have been really helpful for pocket money, support for non-subsidized purchases.",Positif,Positif
"like the APBN is suspected of violating the constitution for the prosperity of the people, instead the misery of the people goes up as the price of basic commodities goes up, the price of people's production goes down.",Negatif,Negatif
Natural prices fluctuate depending on world oil prices in countries where prices are expensive,Positif,Netral
"The usual system is that world oil prices drop significantly nationally, but not NTlix",Negatif,Negatif
"I don't believe that the day order survey failed, many people were lame, many people fell victim to lies about rising prices",Negatif,Positif
Collaboration with Pertamina General for full KKP caught fish requires affordable prices,Netral,Positif
"Prices vary from country to country, prices naturally fluctuate depending on the world oil prices, which countries are expensive",Netral,Netral
"Indonesia is not an oil producing country, so Indonesian prices are affected by world oil prices, so domestic prices are cheap because Indonesian orders give quite large subsidies this year.",Negatif,Negatif
"high quality Pertamina fuel, reasonable prices, Pertamina plays a big role in underprivileged communities, all major Pertamina gas stations are fair, targeted subsidies",Positif,Positif
"Assalammualaikum, sir, I want to ask, for example, if the company's employees cook their own oil, then what is the price for the community?",Positif,Positif
"Indonesia is not an oil-producing country that imports oil, so Indonesian prices are influenced by world oil, so if the world oil price rises, it will be expensive and then it will go back",Netral,Negatif
"The prices of all Pertamina gas stations are consistent. Pertamina provides subsidies for the less fortunate people of all levels of society, so of course all types of fuel are of good quality.",Positif,Positif
"But remember, the world oil price rises, Indonesia also increases, the main influence of the world oil price in Indonesia is mutual influence",Netral,Netral
"how many trillions of money are lost in the potential to be a host even though the money is used for subsidies, if the premium price goes up every year, don't protest, you know",Negatif,Negatif
"Waduhhh, I'm following the world oil price",Netral,Netral
"If the environment is damaged, the law may be confiscated, the welfare of democracy fails to increase the legal price of the RKUHP",Negatif,Positif
"It is clear that many solutions include providing subsidies or controlling prices for the whole people, for example, redistributing the national wealth for too long in the hands of conglomerates at the top of the apparatus, aka oligarchs.",Positif,Positif
Don't vote for PDP. It's the era when SBY was so arrogant about protesting fuel price increases when PDP was in power. Prices rose many times using the jargon of the little people's party.,Negatif,Negatif
"That's right, that's why the shortcut is to increase the subsidized fuel price",Positif,Positif
"Yes, the same price as a retail gas station has a lot of mark up",Positif,Positif
welcome ciamis kabhatur father erik tohir when the price will drop again,Positif,Netral
Pertalite prices drop ahead of Eid perhaps,Negatif,Netral
"Covid prices rise, creating a fragile veil over Central Java's prosperous line",Positif,Netral
"What do you mean by enjoying expensive fuel? Or the price is getting higher. Your eyes look like you're sitting and are affected. Don't just raise your eyes so you can be arrogant, have empathy.",Positif,Positif
"exploring the mouth of the river, renting a fishing boat, deal, the price of filling up with petrol used to be pretty good, like buying using jerry cans, I remember the petrol station was really far away, but it turned out to be an official kiosk that served fishermen and tourists in far away gas stations.",Positif,Positif
students and emakemak demonstrate the price of riding the tempo metro horse statue,Netral,Netral
"Going back to the Pertamina gas station is clearly reliable in Aceh, Papua, if you want to stop by Tualang Village, it's clear to fill up with petrol at the Pertamina gas station at a consistent price, if it's a big gas station, it's already a small Pertashop, it's safe.",Positif,Positif
"I really remember when I was little, I used to go on road trips to Pekanbaru, Jogja, there were minimal gas stations, so every time I met a gas station, I filled it up and it didn't go through, but now it's all one price.",Netral,Netral
"It's becoming increasingly clear that we're getting ready for prices to drop in April, you know",Positif,Positif
"now look at the example of many people who want to be religious during the campaign to show up well, let go of office, the price of winning doesn't pretend to be holy, who wants to vote, it doesn't matter, the most basic food increases are increased",Positif,Positif
cool prices available at the yellow reed gas station in Sungai Durian,Positif,Netral
"Indonesian prices influence world oil prices, so if world oil prices rise, prices rise, extreme weather wars, other world events all influence world oil prices",Negatif,Negatif
"Prices rose due to the influence of world oil prices, not Pertamina deliberately increasing prices",Netral,Netral
Prices are rising due to the influence of world oil prices. Prices are rising. Prices are also rising,Netral,Netral
Maybe it will come down to someone who will be MVP in the price adjustment this coming political year,Netral,Netral
"So, Indonesia's prices will naturally increase because Indonesia is a net importer of oil, Indonesia consumes more oil.",Positif,Positif
"The price and quality of all regions of Indonesia are different, the quality guarantees that Indonesian prices will rise, so world oil prices will naturally rise",Netral,Positif
"In fact, Indonesia's imports of petroleum are full of national demand for its own mining products, so there is a clear reason why Pertamina's prices have risen",Positif,Positif
"if the world oil price goes up, the amount of people using it will automatically increase more than the stock they have",Positif,Positif
"Please, good quality, state-owned companies, prices are the same throughout Indonesia, if prices increase due to increases in world oil prices",Positif,Positif
"remember, Pertamina remembers one price for remote areas, if you ask what is attached to it, if you hear the words Pertamina, answer, one price is available for remote areas.",Netral,Netral
"I've heard that there will be discourse on Pertamina prices in April, hopefully there will be good news regarding welcoming Eid homecoming season",Positif,Positif
"It's ironic that even though Indonesia is a net importer of oil, the selling price is the cheapest in the ASEAN region",Negatif,Negatif
"That's why it's a pro if Pertamina frequently increases prices, lowering prices when world oil prices move",Negatif,Negatif
So the difference in consumption is imported and is one of the factors that causes domestic prices to fluctuate,Netral,Netral
Pertamina examines price fluctuations as of April,Netral,Netral
"Even though the price is still the same because of the influence of world oil prices, the price remains consistent, you know, the Indonesian people, wow, it's really true that if you take care of it, trust Pertamina.",Positif,Positif
"Firdaus police personnel, the Firdaus police intelligence unit, detects and monitors post-fuel stock according to price increases, subsidized prices and rare gas stations, gas stations in the jurisdiction of the Firdaus Police",Positif,Positif
"So it's not that Pertamina is deliberately increasing world oil prices, prices are also increasing",Netral,Netral
price quality price increases due to the influence of world oil,Netral,Netral
So you can press the key to the price of an electric car again so that it can save at least the same as the price of an MBL,Positif,Positif
"FYI Indonesian prices influence world oil prices, war, extreme weather, other world events, all influence world oil prices, Indonesia net Indonesian oil importers, not enough oil yields, national needs",Negatif,Negatif
"It's appropriate that prices continue to rise. It's clear that the subsidy money is being misused, according to official data",Positif,Positif
Pdip double standards when the opposition refuses to increase the power to increase world prices is indeed a stage for a play,Positif,Positif
enterprising pam kece watch out for indications of potential lahgun gas station prices kuman aipda zulhelmi maha son,Positif,Netral
Lots of people complain about rising prices even though the country's prices are among the cheapest compared to several neighboring countries compared to world market prices,Negatif,Netral
Check the list of Pertamina prices for all gas stations increasing per day,Netral,Netral
private order prices are cheaper,Netral,Netral
Oil prices rose as orders chased down consumption of imported subsidized oil,Netral,Netral
Check the list of Pertamina prices for all gas stations increasing per day,Netral,Netral
"Come on, let's raise design prices",Netral,Netral
look for a stage please remember the party supports price increases,Positif,Positif
"Just watch out for a lot of fried civil servants, are civil servant salaries going up during the CPNS era? The price of eggs has gone up to the top of the mountain.",Positif,Positif
"the robbery has gone too far, BPJS funds for labor, Hajj funds, Bumn cash, swab test prices, quarantine costs, going home, bank account, Buseet customers are so hungry, they're so hungry",Netral,Negatif
I'm increasingly afraid of Uname snacks. Now only basic necessities are going up fast. Uname prices are going up roughly,Netral,Netral
"Fortunately, access is now very easy, where Pertamina gas stations are currently rising in price, right along with world oil prices",Positif,Positif
"Jokowi can change from good condition to damaged. Jokowi can change from cheap to expensive. Basically, Jokowi can change Indonesia to become more chaotic.",Negatif,Negatif
"the quality is really good, the price follows the world oil price, read it for real, buy it at a cheap price, order to give hundreds of trillions of subsidies every year",Positif,Positif
"I don't know sir, our prices have dropped, the prices for other things have also dropped",Netral,Positif
destination suitable for a good price,Positif,Netral
"Indonesian prices really influence world oil prices, remember that Indonesia's raw materials are scarce, so Indonesia is one of the net oil importers, it's surprising that the price level is in line with cheap world oil prices.",Positif,Positif
"For Pertamina's management, the quality is available and the consistency of Pertamina's prices is good",Positif,Positif
"Well, Indonesia itself influences the price of world oil in four countries in the world. The amount of demand for Indonesian crude oil has become very large due to rising prices.",Negatif,Negatif
"It's normal for a long time for prices to go up and down, often you can't guess that the oil used from imports will have a big influence on world oil prices, but the price going up and down is too much of a problem as long as Pertamina's quality remains good now.",Positif,Positif
"Often people feel disappointed so prices increase even though the increase is influenced by world oil prices. Indonesia is not a country that produces oil, so it is an import country",Positif,Negatif
"Just pay, look at Indonesia now, all cement prices used to be unequal in East Indonesia, prices are many times more expensive",Negatif,Positif
"support the implementation of one price, society can get equal energy equity",Positif,Positif
a real sign of falling prices for Eid,Negatif,Negatif
"War cars now are like water-saving EVs, you don't need to worry about prices",Positif,Positif
"So Indonesian prices are influenced by world oil prices, not Pertamina deliberately increasing prices",Netral,Netral
"I want to know that Indonesian prices are naturally rising because Indonesia is a net importer of oil, the amount Indonesia consumes is more than its own quantity",Positif,Positif
"In all regions, the price is the same, guaranteed quality will certainly increase, so in Indonesia the world oil price will naturally increase",Positif,Positif
"The fate of subsidy prices continues to rocket, new regulatory schemes are strong, targeted regulations are passing",Positif,Positif
"The meaning of rising is not Pertamina's desire for Indonesia, it's the influence of world oil prices",Negatif,Netral
"As for prices rising due to the influence of world oil prices, prices are rising, prices are rising along with inflation, he said",Netral,Netral
"Indonesia is a net importer of oil, the oil output is quite full, the national demand for Indonesian prices is influenced by world oil prices",Negatif,Negatif
"Throughout Indonesia, prices are consistent, good quality, subject to increases because Indonesian prices are influenced by world oil prices",Positif,Positif
Tapung downstream police personnel carry out patrols and monitoring of hook-up gas stations according to subsidy prices in the jurisdiction of the Tapung downstream police to create a safe security and social security situation in the Tapung downstream police area,Positif,Positif
Actively patrolling monitoring the impact of rising gas station prices or Ibul gas stations,Positif,Netral
"Sis, I want the price to go up, I've already been wronged by the principal",Negatif,Netral
byimbasnaik the price of the required price increases the price of the amount of material required for the trade level of the regency's people's market,Netral,Positif
"Jokowi the best, the same price throughout Indonesia, social justice for all Indonesian people, never before have you thought about it, greetings sane",Positif,Positif
Indonesian prices are cheap in Asia even though the production population is in balance,Netral,Positif
